Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,35,20,T:System.Windows.Visibility,,,,,column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,35,20,F:System.Windows.Visibility.Collapsed,,,,,column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,35,20,T:System.Windows.Visibility,,,,,column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,35,20,P:System.Windows.Controls.DataGridColumn.Visibility,,,,,column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,31,20,P:System.Windows.Controls.DataGridColumn.Header,,,,,column.Header = propertyDisplayName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,28,16,M:System.Windows.FrameworkElement.FindResource(System.Object),,,,,column.CellTemplate = FindResource(propertyStyle) as DataTemplate;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,28,16,T:System.Windows.DataTemplate,,,,,column.CellTemplate = FindResource(propertyStyle) as DataTemplate;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,28,16,P:System.Windows.Controls.DataGridTemplateColumn.CellTemplate,,,,,column.CellTemplate = FindResource(propertyStyle) as DataTemplate;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,27,16,T:System.Windows.Controls.DataGridTemplateColumn,,,,,var column = new DataGridTemplateColumn();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,27,16,M:System.Windows.Controls.DataGridTemplateColumn.#ctor,,,,,var column = new DataGridTemplateColumn();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,23,12,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.PropertyType,,,,,string name = e.PropertyType.Name;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,22,12,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.PropertyDescriptor,,,,,string propertyStyle = GetPropertyCellTemplateName(e.PropertyDescriptor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,21,12,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.PropertyDescriptor,,,,,string propertyDisplayName = GetPropertyDisplayName(e.PropertyDescriptor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,14,12,E:System.Windows.Controls.DataGrid.AutoGeneratingColumn,,,,,AutoGeneratingColumn += DataGridAutoHeadersAutoGeneratingColumn;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,13,12,P:System.Windows.Controls.DataGrid.AutoGenerateColumns,,,,,AutoGenerateColumns = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,11,8,M:System.Windows.Controls.DataGrid.#ctor,,,,,public DataGridAutoHeaders()          {              AutoGenerateColumns = true;              AutoGeneratingColumn += DataGridAutoHeadersAutoGeneratingColumn;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,14,12,E:System.Windows.Controls.DataGrid.AutoGeneratingColumn,,,,,AutoGeneratingColumn += DataGridAutoHeadersAutoGeneratingColumn;
